path,true_label,pred_label,score,subject_preview
dataset/easy_ham/0863.3de076f8a3b5f011d630dbefbd371694,ham,Safe,9.00,From fork-admin@xent.com  Mon Sep 30 13:53:23 2002
dataset/easy_ham/0146.2d301a1e07672538d669f5e571180d32,ham,Phishing,11.00,From sentto-2242572-55912-1033991494-zzzz=example.com@returns.groups.yahoo.com  Mon Oct  7 13:14:04 2002
dataset/easy_ham/0197.59ea60c031993abdccb762f9dbb35340,ham,Phishing,11.00,From sentto-2242572-56011-1034075737-zzzz=example.com@returns.groups.yahoo.com  Tue Oct  8 12:27:25 2002
dataset/easy_ham/0059.b3b1b1d95976b70d9bbd6c39c6b8d5d2,ham,Safe,8.00,From fork-admin@xent.com  Fri Aug 23 11:08:50 2002
dataset/easy_ham/0250.21660c434f8535865d04d112f8105708,ham,Safe,6.00,From ilug-admin@linux.ie  Wed Aug 28 10:47:51 2002
dataset/easy_ham/2310.5c05ac6e4c2b473ef5dec9fe794ec853,ham,Safe,8.00,From rssfeeds@jmason.org  Thu Oct  3 12:24:22 2002
dataset/easy_ham/0045.910fa2e79f96c646f1b6c987c65cbe3f,ham,Safe,8.00,From fork-admin@xent.com  Fri Aug 23 11:08:31 2002
dataset/easy_ham/0154.9e065ee6214360e43b9873e39880159e,ham,Phishing,11.00,From sentto-2242572-55978-1034026967-zzzz=example.com@returns.groups.yahoo.com  Tue Oct  8 00:10:48 2002
dataset/easy_ham/2045.23236c16f102098247b10ca305a9a6b5,ham,Safe,8.00,From rssfeeds@jmason.org  Thu Sep 26 16:41:29 2002
dataset/easy_ham/2129.3d86d3c841fb61e241b77634c774c7fa,ham,Phishing,13.00,From rssfeeds@jmason.org  Fri Sep 27 10:41:05 2002
dataset/easy_ham/1496.c48399a0c3abb60acd00322bdbb97565,ham,Safe,8.00,From razor-users-admin@lists.sourceforge.net  Mon Aug 26 15:16:22 2002
dataset/easy_ham/1197.d2b11de4c8eb13e1fcc1d444665d0d1c,ham,Safe,8.00,From rpm-list-admin@freshrpms.net  Fri Sep 20 11:30:18 2002
dataset/easy_ham/0435.7d06c898a16be4efbfbdef62c347ab59,ham,Safe,8.00,From fork-admin@xent.com  Mon Sep  2 23:01:32 2002
dataset/easy_ham/0298.fb2fe4458efbd24753b011bf6db2deab,ham,Phishing,12.00,From sentto-2242572-53807-1031307957-zzzz=example.com@returns.groups.yahoo.com  Fri Sep  6 11:48:58 2002
dataset/easy_ham/1528.e2fa148e32e3c975b3afff6959c2ab6b,ham,Safe,8.00,From spamassassin-talk-admin@lists.sourceforge.net  Wed Sep  4 16:53:10 2002
dataset/easy_ham/0854.6fc80acdb73b0ab60c3f316f646c0546,ham,Safe,9.00,From fork-admin@xent.com  Fri Sep 27 10:43:18 2002
dataset/easy_ham/0771.56f1377225cfa1461304bce68e892600,ham,Safe,8.00,From fork-admin@xent.com  Mon Sep 23 12:09:32 2002
dataset/easy_ham/1707.5c6277e057c0b3238b03d60de3109e8e,ham,Safe,8.00,From razor-users-admin@lists.sourceforge.net  Thu Oct  3 19:28:23 2002
dataset/easy_ham/0821.479ffdea3cc5f259f453afe16dd27e4a,ham,Safe,8.00,From fork-admin@xent.com  Tue Sep 24 15:52:20 2002
dataset/easy_ham/2454.927f352b226246d7bca7badfc2d7aa50,ham,Safe,9.00,From rssfeeds@jmason.org  Mon Oct  7 12:05:46 2002
dataset/easy_ham/0289.cb9c0595bddae2c25357ce5c9fbaf687,ham,Safe,6.00,From ilug-admin@linux.ie  Wed Aug 28 13:55:22 2002
dataset/easy_ham/2492.a60a61ef3280f7b68df65d4d7cf3afd0,ham,Safe,9.00,From rssfeeds@jmason.org  Tue Oct  8 10:56:15 2002
dataset/easy_ham/0182.6a44fa290eebac4c52eb17292623b630,ham,Safe,9.00,From rssfeeds@example.com  Tue Oct  8 10:56:14 2002
dataset/easy_ham/0225.80a615200726ed2da1bfd347dcfd648c,ham,Phishing,11.00,From timc@2ubh.com  Wed Aug 28 10:55:08 2002
dataset/easy_ham/0145.7400cf6ab4cfe5ffeaab582c9730c656,ham,Safe,8.00,From ilug-admin@linux.ie  Mon Oct  7 12:07:14 2002
dataset/easy_ham/0477.b7958d4d9cb312c16965859705826a7e,ham,Safe,8.00,From fork-admin@xent.com  Wed Sep  4 19:01:04 2002
dataset/easy_ham/2110.65f419836d97dbaaa92c441995a69264,ham,Safe,9.00,From rssfeeds@jmason.org  Thu Sep 26 16:43:28 2002
dataset/easy_ham/0404.eceb4a64a9ef4c1d738782efde23c09b,ham,Safe,8.00,From fork-admin@xent.com  Wed Aug 28 18:07:13 2002
dataset/easy_ham/1715.7e47339df52b3d0c131273f1c58ba4eb,ham,Safe,8.00,From razor-users-admin@lists.sourceforge.net  Wed Oct  9 15:09:25 2002
dataset/easy_ham/0431.26f19fa47fab85e813b1aba8ff6139d6,ham,Safe,8.00,From fork-admin@xent.com  Mon Sep  2 16:22:33 2002
dataset/easy_ham/1635.52b59f11291134697f3604f9dfd72080,ham,Safe,8.00,From spamassassin-talk-admin@lists.sourceforge.net  Thu Aug 29 16:42:46 2002
dataset/easy_ham/0153.f78ed3d22e441ab7bd6d006323a83621,ham,Phishing,11.00,From sentto-2242572-55948-1034007295-zzzz=example.com@returns.groups.yahoo.com  Mon Oct  7 18:29:14 2002
dataset/easy_ham/1845.e5c02ab6101d2a7759f059da0e6385ca,ham,Safe,6.00,Return-Path: skip@pobox.com
dataset/easy_ham/0817.bcee0d97a59953c5e6086df74d4ed665,ham,Safe,8.00,From fork-admin@xent.com  Tue Sep 24 10:49:33 2002
dataset/easy_ham/1740.cd9dec755fc9e6d819137b8e0111e031,ham,Safe,6.00,Return-Path: gward@python.net
dataset/easy_ham/0095.b51416f612ac5737e0f4a5529ce453d1,ham,Safe,2.00,From justin.armstrong@acm.org  Mon Sep  2 12:29:05 2002
dataset/easy_ham/2538.e3f596927fd5dd74ad23a0792a449241,ham,Phishing,11.00,From rssfeeds@jmason.org  Thu Oct 10 12:32:20 2002
dataset/easy_ham/2190.bb3a7c01cc0fa4d7e2cb8237b593c570,ham,Safe,8.00,From rssfeeds@jmason.org  Tue Oct  1 10:36:23 2002
dataset/easy_ham/2164.1a46ee8b5542d762cb2f364fe48207ae,ham,Safe,8.00,From rssfeeds@jmason.org  Mon Sep 30 13:43:37 2002
dataset/easy_ham/0848.ef1b9b43e194c1650d7722ffcc7b20ad,ham,Safe,8.00,From fork-admin@xent.com  Thu Sep 26 11:04:53 2002
dataset/easy_ham/2397.9491b18b38e40aa651c7ef9b6291222d,ham,Safe,9.00,From rssfeeds@jmason.org  Sat Oct  5 12:37:58 2002
dataset/easy_ham/0733.782a236e90e0e7a55b3c67be6f7bef23,ham,Safe,8.00,From fork-admin@xent.com  Sat Sep 21 10:42:52 2002
dataset/easy_ham/0287.18f9a821d67a503c0d54a2356a0f8a4a,ham,Phishing,11.00,From timc@2ubh.com  Wed Aug 28 13:55:30 2002
dataset/easy_ham/1735.767c727c118916606982501980deb249,ham,Safe,8.00,From neugens@libero.it  Fri Aug 23 11:04:42 2002
dataset/easy_ham/0653.68f91129d7292df3acc78eb6d575130f,ham,Safe,8.00,From fork-admin@xent.com  Tue Sep 17 15:09:23 2002
dataset/easy_ham/2051.e7d9645f8b4b87954a4445b9129a7ca5,ham,Safe,6.00,From rssfeeds@jmason.org  Thu Sep 26 16:41:39 2002
dataset/easy_ham/0978.3abc52be262e3631f31cd4aee5a1b901,ham,Safe,9.00,From fork-admin@xent.com  Thu Aug 22 16:37:41 2002
dataset/easy_ham/0178.8405bbe39a5eb6c1814e3c16602099a4,ham,Safe,8.00,From rssfeeds@example.com  Tue Oct  8 10:55:48 2002
dataset/easy_ham/1765.4257318f87e53aa246882d00e42c67d5,ham,Safe,2.00,Return-Path: tim.one@comcast.net
dataset/easy_ham/0632.5a55cc359e591b1264cefa42b228df98,ham,Safe,8.00,From fork-admin@xent.com  Thu Sep 12 21:21:46 2002
dataset/easy_ham/1839.c66fbc9c72afb9ea062537d3635d1d6c,ham,Safe,2.00,Return-Path: skip@pobox.com
dataset/easy_ham/0887.95cafbddb7fce33aada0e9d9bb329aa5,ham,Safe,8.00,From fork-admin@xent.com  Tue Oct  1 10:41:35 2002
dataset/easy_ham/0645.10b54fc6ea0ff6afea35a0dc440cc2d1,ham,Safe,8.00,From fork-admin@xent.com  Tue Sep 17 11:29:52 2002
dataset/easy_ham/1108.128f9f0247b131505281874efc8e02f8,ham,Safe,8.00,From exmh-users-admin@redhat.com  Mon Sep 16 15:30:56 2002
dataset/easy_ham/0157.18c5e181c72acfc3a501a82907e58a59,ham,Phishing,11.00,From sentto-2242572-55981-1034027969-zzzz=example.com@returns.groups.yahoo.com  Tue Oct  8 00:10:53 2002
dataset/easy_ham/1414.c9aa0ebdc370411948a0c8bf4a7e6b14,ham,Safe,8.00,From spamassassin-devel-admin@lists.sourceforge.net  Mon Aug 26 16:47:05 2002
dataset/easy_ham/0546.b6bc744eb32a97fdb4005fc1e513cf85,ham,Safe,8.00,From fork-admin@xent.com  Sat Sep  7 21:54:01 2002
dataset/easy_ham/0936.fd3d57ba85e83cca7b17ff92667a05eb,ham,Safe,8.00,From fork-admin@xent.com  Thu Oct  3 19:30:12 2002
dataset/easy_ham/0599.dcd037ac7e916599160fc182080defe3,ham,Safe,8.00,From fork-admin@xent.com  Tue Sep 10 11:07:49 2002
dataset/easy_ham/0570.17bb9eeb6562425ac2aee464a84f0e4a,ham,Safe,8.00,From fork-admin@xent.com  Mon Sep  9 14:34:36 2002
dataset/easy_ham/2359.180792e98777a31826a0cc0214e7e98c,ham,Safe,9.00,From rssfeeds@jmason.org  Fri Oct  4 11:02:05 2002
dataset/easy_ham/0694.81370eede2be95453ba67195c8619c60,ham,Safe,8.00,From fork-admin@xent.com  Thu Sep 19 11:05:16 2002
dataset/easy_ham/2420.907cd1772df173393e1df5c1f4364a9c,ham,Safe,9.00,From rssfeeds@jmason.org  Mon Oct  7 12:05:06 2002
dataset/easy_ham/0190.41da72c46bce52a15056a0171b56a917,ham,Safe,8.00,From rpm-list-admin@freshrpms.net  Tue Oct  8 10:56:24 2002
dataset/easy_ham/2161.044851c0caf13b43b3c1ba4acee6ea8d,ham,Safe,6.00,From rssfeeds@jmason.org  Mon Sep 30 13:37:46 2002
dataset/easy_ham/2391.40efcd4ee4a50355cfe8a84c327122c1,ham,Safe,8.00,From rssfeeds@jmason.org  Sat Oct  5 10:37:37 2002
dataset/easy_ham/2121.a09b948bed54d0075b93d57f85b7df1a,ham,Safe,8.00,From rssfeeds@jmason.org  Fri Sep 27 10:40:55 2002
dataset/easy_ham/0134.56b4bed3bd3a696ab5b271a6e37fa005,ham,Safe,6.00,From ilug-admin@linux.ie  Mon Sep  2 23:01:03 2002
dataset/easy_ham/0577.7297b06fde913833e96aca4385826c29,ham,Safe,8.00,From fork-admin@xent.com  Mon Sep  9 19:27:35 2002
dataset/easy_ham/1076.da788224ea4526c1e8e2a5840c9acf73,ham,Safe,8.00,From exmh-users-admin@redhat.com  Wed Sep 11 13:42:12 2002
dataset/easy_ham/1992.3e5d0678bc7aea746e1303b40f3bb961,ham,Safe,8.00,From rssfeeds@jmason.org  Wed Sep 25 10:23:50 2002
dataset/easy_ham/0471.55f1c6122fd60d151c2c42182ecb734a,ham,Safe,8.00,From fork-admin@xent.com  Wed Sep  4 11:41:48 2002
dataset/easy_ham/0981.c8d50b71ed6245f895b58c29d60c09be,ham,Safe,8.00,From fork-admin@xent.com  Fri Aug 23 11:08:26 2002
dataset/easy_ham/0100.1728f45047ff2a1601d4e3ee91f26a00,ham,Safe,8.00,From rpm-list-admin@freshrpms.net  Mon Sep  2 12:32:39 2002
dataset/easy_ham/1195.4cad51ea61eee58c9b4496ebba828692,ham,Safe,8.00,From rpm-list-admin@freshrpms.net  Thu Sep 19 13:02:21 2002
dataset/easy_ham/0559.2c60829e4147cdc981cf7131088b851d,ham,Safe,9.00,From fork-admin@xent.com  Mon Sep  9 10:46:15 2002
dataset/easy_ham/1189.e69e458af7eefebc70d658dd2e6d23df,ham,Safe,8.00,From rpm-list-admin@freshrpms.net  Tue Sep 10 18:14:50 2002
dataset/easy_ham/1079.3d222257b98d7d58a0f970d101be3ad7,ham,Safe,9.00,From exmh-users-admin@redhat.com  Wed Sep 11 13:43:19 2002
dataset/easy_ham/1257.955825e253f61831ee071109a66f0fe9,ham,Safe,8.00,From exmh-users-admin@redhat.com  Mon Sep  2 23:40:49 2002
dataset/easy_ham/2070.812cfc32f3b181d9065454b27aa7c498,ham,Safe,6.00,From rssfeeds@jmason.org  Thu Sep 26 16:42:20 2002
dataset/easy_ham/2415.28f9ed10a01fb7ff5dbb400d3b2bb00a,ham,Safe,8.00,From rssfeeds@jmason.org  Mon Oct  7 12:04:59 2002
dataset/easy_ham/1020.7fdf27321484091bd72c08886ab53262,ham,Safe,9.00,From fork-admin@xent.com  Wed Oct  9 22:44:53 2002
dataset/easy_ham/1087.512badc5c555eb050c83ceb7faef9b61,ham,Safe,8.00,From exmh-workers-admin@redhat.com  Wed Sep 11 21:52:08 2002
dataset/easy_ham/2500.231666f4f5641227a17a09ba77cd5c18,ham,Safe,8.00,From rssfeeds@jmason.org  Wed Oct  9 10:52:41 2002
dataset/easy_ham/1084.c773b581863827faac61d6727562dc54,ham,Safe,9.00,From exmh-workers-admin@redhat.com  Wed Sep 11 21:29:14 2002
dataset/easy_ham/2401.4e7aed94d1a109b0b98f0d9e3f5fbde7,ham,Safe,9.00,From rssfeeds@jmason.org  Sun Oct  6 22:54:34 2002
dataset/easy_ham/2436.6d5122b7964e63cbf7b656d21bb77c50,ham,Safe,9.00,From rssfeeds@jmason.org  Mon Oct  7 12:05:27 2002
dataset/easy_ham/0745.3e54df3c4f199b6b8aed76eefd11c660,ham,Safe,8.00,From fork-admin@xent.com  Sat Sep 21 15:19:03 2002
dataset/easy_ham/1094.01d0cbf9f63dd83cdae62a98ec351d70,ham,Safe,9.00,From exmh-users-admin@redhat.com  Fri Sep 13 13:35:55 2002
dataset/easy_ham/1304.10546e3c5e1352134ff26c0e49f72864,ham,Safe,8.00,From rpm-list-admin@freshrpms.net  Wed Oct  2 11:44:56 2002
dataset/easy_ham/0086.b96641b3e0a2cf8c238976336d45a86c,ham,Safe,8.00,From razor-users-admin@lists.sourceforge.net  Mon Sep  2 12:22:47 2002
dataset/easy_ham/0697.19351a0b5670fb30cc1a2c9eed90a26b,ham,Safe,8.00,From irregulars-admin@tb.tf  Thu Sep 19 11:05:24 2002
dataset/easy_ham/0621.feb00fa392669a54bc5602f927fbae12,ham,Safe,8.00,From fork-admin@xent.com  Thu Sep 12 13:39:39 2002
dataset/easy_ham/0532.0a4c127cb659ebad1f4366cf3eb93b83,ham,Safe,8.00,From fork-admin@xent.com  Sat Sep  7 21:52:37 2002
dataset/easy_ham/1814.95d3ab2beeba9b96666d25c09de2143f,ham,Safe,6.00,Return-Path: guido@python.org
dataset/easy_ham/0291.b37f92cfbb14d2f6a43c705ef7381702,ham,Phishing,11.00,From Stewart.Smith@ee.ed.ac.uk  Wed Aug 28 14:15:58 2002
dataset/easy_ham/1138.f044795ad01dc8592e1571539f800719,ham,Safe,8.00,From rpm-list-admin@freshrpms.net  Thu Sep  5 12:50:13 2002
dataset/easy_ham/1103.e4d34070786a4d46da1061628bef2b57,ham,Safe,8.00,From exmh-users-admin@redhat.com  Sat Sep 14 16:22:03 2002
dataset/easy_ham/0383.62511f9f1c1817dc6df14eb4912163c2,ham,Safe,8.00,From fork-admin@xent.com  Mon Aug 26 22:38:51 2002
dataset/easy_ham/1245.2e33632f51f5c7cb7a0620decd151eab,ham,Safe,8.00,From exmh-workers-admin@redhat.com  Thu Aug 22 18:17:16 2002
dataset/easy_ham/2510.4de2705ed127d2de3f3b5cd1b8043ba6,ham,Safe,9.00,From rssfeeds@jmason.org  Wed Oct  9 10:52:53 2002
dataset/easy_ham/0033.e3fd617544226dc06abf36c95a9a2d11,ham,Safe,8.00,From neugens@libero.it  Fri Aug 23 11:04:42 2002
dataset/easy_ham/2077.eba992ea7cedb65c1fddbf9ea01484f3,ham,Safe,9.00,From rssfeeds@jmason.org  Thu Sep 26 16:42:34 2002
dataset/easy_ham/0899.1f868150b365a5f407f46f908fe879e1,ham,Safe,8.00,From fork-admin@xent.com  Tue Oct  1 16:29:00 2002
dataset/easy_ham/1357.c307e11b21bba14e568cd03731de0119,ham,Safe,8.00,From rpm-list-admin@freshrpms.net  Mon Oct  7 18:28:36 2002
dataset/easy_ham/2445.631e9fa95e78d7f56fce09a4e6da56fd,ham,Safe,9.00,From rssfeeds@jmason.org  Mon Oct  7 12:05:37 2002
dataset/easy_ham/2005.f95c773a32ba576c1da3324820a33f74,ham,Safe,6.00,From rssfeeds@jmason.org  Thu Sep 26 11:02:52 2002
dataset/easy_ham/1046.06207e3824a4024e41215defe29e1ddf,ham,Safe,8.00,From exmh-workers-admin@redhat.com  Thu Aug 29 10:57:54 2002
dataset/easy_ham/0193.74f52046990258e5eb60e561dcd8c2fd,ham,Phishing,11.00,From webdev-admin@linux.ie  Tue Oct  8 12:26:53 2002
dataset/easy_ham/2427.2e44be16705ea1d39a01befda3915eb7,ham,Safe,9.00,From rssfeeds@jmason.org  Mon Oct  7 12:05:13 2002
dataset/easy_ham/1209.8d537f01328f65ebd018e0e4e77ebc10,ham,Safe,8.00,From exmh-workers-admin@redhat.com  Mon Sep 23 18:31:06 2002
dataset/easy_ham/0338.b09f1384db1376a00e1c885adf9a1e05,ham,Safe,8.00,From rpm-list-admin@freshrpms.net  Wed Oct  9 10:51:41 2002
dataset/easy_ham/1477.c0b267d577c674023fec3244f351df06,ham,Safe,8.00,From spamassassin-talk-admin@lists.sourceforge.net  Thu Aug 29 11:08:46 2002
dataset/easy_ham/1348.79cf2ab14db2301670710f9d1feaddda,ham,Safe,8.00,From rpm-list-admin@freshrpms.net  Sun Oct  6 22:54:53 2002
dataset/easy_ham/0362.1ce94200cfcb544dc62bbc1134c8676e,ham,Safe,8.00,From fork-admin@xent.com  Mon Aug 26 16:46:43 2002
dataset/easy_ham/2011.9604a6dfecb37414590009d7c0c04f30,ham,Safe,8.00,From rssfeeds@jmason.org  Thu Sep 26 11:02:59 2002
dataset/easy_ham/1617.75b61ae83ecff7b45a80cac6cc8c9192,ham,Safe,8.00,From spamassassin-devel-admin@lists.sourceforge.net  Fri Oct  4 11:07:09 2002
dataset/easy_ham/2368.b0434248d8b7f5b7d4c0572541f37832,ham,Safe,9.00,From rssfeeds@jmason.org  Fri Oct  4 11:02:17 2002
dataset/easy_ham/0141.911fa855ce043ee41b450e6a1b0096d0,ham,Phishing,11.00,From ilug-admin@linux.ie  Mon Oct  7 12:06:41 2002
dataset/easy_ham/0418.c0b6aa880f0653a8cef85a9bfb1af86c,ham,Safe,8.00,From fork-admin@xent.com  Thu Aug 29 11:04:10 2002
dataset/easy_ham/1616.cedc09d67c941d1541cf598e0007509e,ham,Safe,8.00,From spamassassin-devel-admin@lists.sourceforge.net  Fri Oct  4 11:07:08 2002
dataset/easy_ham/1844.2a15d667c53727befded94d9b526afff,ham,Safe,8.00,Return-Path: gward@python.net
dataset/easy_ham/1560.7e2353b8cfa54eec7a467743eaed5afd,ham,Safe,8.00,From spamassassin-talk-admin@lists.sourceforge.net  Thu Sep 12 21:09:40 2002
dataset/easy_ham/2479.a918c490f758e2421f35b66077f2699a,ham,Safe,8.00,From rssfeeds@jmason.org  Tue Oct  8 10:55:29 2002
dataset/easy_ham/1451.64eda615fc56b4bbfdce6291a59c12f4,ham,Safe,8.00,From spamassassin-talk-admin@lists.sourceforge.net  Thu Aug 29 11:06:03 2002
dataset/easy_ham/1597.e85265a0da41a962b316d117548bb3ea,ham,Safe,8.00,From spamassassin-talk-admin@lists.sourceforge.net  Tue Sep 24 23:33:11 2002
dataset/easy_ham/0904.281bae2420e1d4491270fb4ccfe7c4e6,ham,Safe,8.00,From fork-admin@xent.com  Wed Oct  2 11:48:04 2002
dataset/easy_ham/2296.9d1646355d75f4b2dcdd497200c8544c,ham,Safe,8.00,From rssfeeds@jmason.org  Wed Oct  2 11:44:35 2002
dataset/easy_ham/2276.8457c2cba3f53db0d700d967cdbea65c,ham,Safe,8.00,From rssfeeds@jmason.org  Wed Oct  2 11:43:38 2002
dataset/easy_ham/1139.44ea8e749419ab215aab3810e4deea83,ham,Safe,8.00,From rpm-list-admin@freshrpms.net  Thu Sep  5 13:04:27 2002
dataset/easy_ham/0666.d26ea575aa017100f7caa40a0462fcc4,ham,Safe,8.00,From fork-admin@xent.com  Tue Sep 17 23:29:49 2002
dataset/easy_ham/1110.607e74a3949cd6e4787031e0164f09ff,ham,Safe,8.00,From exmh-users-admin@redhat.com  Thu Sep 19 13:01:41 2002
dataset/easy_ham/0089.8b3fea141f5b2f2e5b66a9f12148b7d0,ham,Safe,8.00,From pudge@perl.org  Mon Sep  2 12:23:15 2002
dataset/easy_ham/2116.eec6976677828cf9e6cbad4ed700dc00,ham,Safe,8.00,From rssfeeds@jmason.org  Thu Sep 26 16:43:33 2002
dataset/easy_ham/1430.340721c84f45f79eeef6fcae18c82f20,ham,Safe,8.00,From brian@unearthed.com  Wed Aug 28 10:56:21 2002
dataset/easy_ham/1869.7e629f0611df5503ab8608b3cfd9def6,ham,Safe,8.00,From pudge@perl.org  Tue Aug 27 03:05:46 2002
dataset/easy_ham/1645.60a80c94ae8fec2ef1f1ef0915445400,ham,Safe,6.00,From jm@jmason.org  Thu Oct 10 13:14:29 2002
dataset/easy_ham/1013.8355d120301841c6b601bee02bb4c14f,ham,Safe,9.00,From fork-admin@xent.com  Wed Aug 28 10:50:41 2002
dataset/easy_ham/2152.d8dd8a2810797c245f91ae73868e72c8,ham,Safe,6.00,From rssfeeds@jmason.org  Mon Sep 30 13:37:10 2002
dataset/easy_ham/1311.1b2aa5b1599ab89a91f09ef1f1dc9989,ham,Safe,8.00,From rpm-list-admin@freshrpms.net  Wed Oct  2 21:15:48 2002
dataset/easy_ham/1600.7d1caa5855ff06f37269178401aff693,ham,Safe,6.00,From easmith@beatrice.rutgers.edu  Thu Sep 26 16:29:49 2002
dataset/easy_ham/2430.07f067ef6e156d06699718e8927d58d2,ham,Safe,8.00,From rssfeeds@jmason.org  Mon Oct  7 12:05:14 2002
dataset/easy_ham/1674.af90d09c58aa2dba5ee593c8ae3d8c70,ham,Safe,8.00,From razor-users-admin@lists.sourceforge.net  Fri Sep  6 11:38:50 2002
dataset/easy_ham/1579.2b2d92136109e10122b2af311a414783,ham,Safe,2.00,"Replied: Mon, 16 Sep 2002 00:33:33 +0100"
dataset/easy_ham/2410.b2e5de4ac66ee4a16dbe5dc08e804e4c,ham,Safe,8.00,From rssfeeds@jmason.org  Sun Oct  6 22:54:47 2002
dataset/easy_ham/2155.9febcd6b448dba76de404c1c57f8d239,ham,Safe,6.00,From rssfeeds@jmason.org  Mon Sep 30 13:37:22 2002
dataset/easy_ham/2266.eba4519c860f5cad28d7219603c262aa,ham,Safe,6.00,From rssfeeds@jmason.org  Tue Oct  1 10:37:53 2002
dataset/easy_ham/1875.dbed554328b768bf307fecf3b4491ce2,ham,Safe,8.00,From pudge@perl.org  Mon Sep  2 12:36:33 2002
dataset/easy_ham/1025.77dcf4ff92802ab3af94b9516d25b02a,ham,Safe,8.00,From exmh-workers-admin@redhat.com  Mon Aug 26 16:02:06 2002
dataset/easy_ham/1590.8d27eaf596403ade34f593db10eb8f28,ham,Safe,8.00,From spamassassin-devel-admin@lists.sourceforge.net  Sun Sep 22 00:46:56 2002
dataset/easy_ham/1624.d73f5a35be403b0532263e72ccdab448,ham,Safe,8.00,From spamassassin-devel-admin@lists.sourceforge.net  Fri Oct  4 11:08:10 2002
dataset/easy_ham/1106.e8f11a2a435c86f57edaf08a726bb72a,ham,Safe,8.00,From exmh-users-admin@redhat.com  Sat Sep 14 16:22:59 2002
dataset/easy_ham/1194.ee628dd00ae3eea31232d0e78a39c9b2,ham,Safe,8.00,From rpm-list-admin@freshrpms.net  Thu Sep 19 13:02:12 2002
dataset/easy_ham/1836.7b8c9da065dd15894b0c6f851ac461e8,ham,Safe,2.00,Return-Path: skip@pobox.com
dataset/easy_ham/1691.dc18b18697ac2c2d7e5024eb8be84ecb,ham,Safe,8.00,From razor-users-admin@lists.sourceforge.net  Thu Sep 19 13:01:03 2002
dataset/easy_ham/1086.b51953361efc50df363334b72a566863,ham,Safe,9.00,From exmh-workers-admin@redhat.com  Wed Sep 11 21:29:20 2002
dataset/easy_ham/1286.02bd8e853e68affa8f7d5fda314b4bd4,ham,Safe,8.00,From rpm-list-admin@freshrpms.net  Mon Sep 30 21:44:30 2002
dataset/easy_ham/0252.274e70cd31fb5c72b9e7aee909c53cb1,ham,Safe,6.00,From ilug-admin@linux.ie  Wed Aug 28 10:48:00 2002
dataset/easy_ham/0389.1fe03acd5f135ac67ed7a7f35c4b3347,ham,Safe,8.00,From fork-admin@xent.com  Tue Aug 27 00:33:01 2002
dataset/easy_ham/0213.ee51a591f777be501b45101a6fe01776,ham,Phishing,11.00,From wt046@victoria.tc.ca  Wed Aug 28 10:53:27 2002
dataset/easy_ham/1036.8c6e8c189738f671c5fd1cb2b1791317,ham,Safe,8.00,From exmh-workers-admin@redhat.com  Wed Aug 28 10:46:45 2002
